s,z,e2,x,mloc,it_t_min,cur_t_min,rem_t_min
1,1,-4.2605e-18,1,13,0.536833,0.536833,160.513
2,30862321,7.51757e-17,1.40023,14,0.5425,1.0795,106.87
3,60349929,2.77741e-15,1.65846,16,0.564,1.6435,80.5315
4,49118599,4.43025e-14,1.63152,27,0.585,2.2285,64.6265
5,35061355,5.00745e-13,1.55785,13,0.606667,2.83517,53.8682
6,54650077,3.63821e-12,1.3866,15,0.627667,3.46283,46.0062
7,53249535,2.37987e-11,1.33108,27,0.653333,4.11617,39.9856
8,13251425,1.16126e-10,1.274,15,0.675667,4.79183,35.1401
9,39611001,5.15632e-10,1.20037,24,0.705,5.49683,31.1487
10,60445129,1.9729e-09,1.15678,23,0.725167,6.222,27.7162
11,31939525,7.19056e-09,1.1145,27,0.753333,6.97533,24.7307
12,44918227,2.34731e-08,1.07806,25,0.768167,7.7435,22.0392
13,50031811,7.19926e-08,1.04988,15,0.789667,8.53317,19.5982
14,29365357,2.18517e-07,1.02998,23,0.811333,9.3445,17.3541
15,16126057,6.49466e-07,1.01878,21,0.835833,10.1803,15.2705
16,28424239,1.95441e-06,1.01062,26,0.854167,11.0345,13.3063
17,28668517,6.0589e-06,1.00532,26,0.871833,11.9063,11.4394
18,31934383,1.96357e-05,1.00228,21,0.901167,12.8075,9.6618
19,63614727,6.71257e-05,1.00094,22,0.916,13.7235,7.94518
20,46010355,0.000244087,1.00037,27,0.938667,14.6622,6.28379
21,62440555,0.000945749,1.00014,27,0.952667,15.6148,4.66417
22,62933247,0.00390414,1.00007,27,0.981167,16.596,3.08305
23,27950257,0.0171376,1.00007,27,0.9965,17.5925,1.52978
24,44293641,0.0797918,1.00008,27,0.996667,18.5892,0
